/class/@label;/class/aliases/alias/@title
市销率(ps);市销率
市销率(ps);市销
市销率(ps);ps
市销率(ps);
单季度.筹资活动现金流出小计;单季度筹资活动现金流出小计
单季度.筹资活动现金流出小计;
单季度.手续费及佣金收入;单季度手续费及佣金收入
单季度.手续费及佣金收入;
单季度.收取的租金;单季度收取的租金
单季度.收取的租金;
结算备付金;
应收帐款-比例;
发放的中长期贷款;
少数股东损益;
经营租赁所支付的现金;
单季度.保费总收入;单季度保费总收入
单季度.保费总收入;单季度保费业务收入
单季度.保费总收入;
固定资产清理;
红股上市交易日;送转股上市日
红股上市交易日;
可供股东分配的利润;
客户存款和同业存放款项净增加额;
三板b股占总股本比例;
拆放同业;
支付其他与筹资活动有关的现金;支付的其他与筹资活动有关的现金
支付其他与筹资活动有关的现金;
现金股利(未转出);
向一般法人配售数量;
单季度.各种证券资产的减少(减增加);单季度各种证券资产的减少(减增加)
单季度.各种证券资产的减少(减增加);
经营活动现金流出小计;
股东权益差额(特殊及平衡项目);
股权登记日(b股最后交易日);
预测息税折旧摊销前利润(ebitda)平均值;预测息税折旧摊销前利润平均值
预测息税折旧摊销前利润(ebitda)平均值;
单季度.手续费及佣金支出;单季度手续费及佣金支出
单季度.手续费及佣金支出;
保单红利支出;
存贷款比例(外币);
财务费用／营业总收入;财务费用率
财务费用／营业总收入;财务费用/营业总收入
财务费用／营业总收入;
配股除权日;
财务费用明细-利息收入;
短期资产流动性比例(外币);
市盈率(pe,ttm);市盈率ttm
市盈率(pe,ttm);pettm
市盈率(pe,ttm);ttmpe
市盈率(pe,ttm);ttm市盈率
市盈率(pe,ttm);市盈率(pe;ttm)
市盈率(pe,ttm);市盈率(pe ttm)
市盈率(pe,ttm);
静态市盈率(中证发布);静态市盈率
静态市盈率(中证发布);静市盈率
静态市盈率(中证发布);静态pe
静态市盈率(中证发布);
企业价值(剔除货币资金)(ev2);ev2
企业价值(剔除货币资金)(ev2);企业价值(剔除货币资金)
企业价值(剔除货币资金)(ev2);
单季度.吸收投资所收到的现金;单季度吸收投资所收到的现金
单季度.吸收投资所收到的现金;
单季度.拆入资金净增加额;单季度拆入资金净增加额
单季度.拆入资金净增加额;
每股营业收入;每股销售额
每股营业收入;
归属母公司股东的权益／带息债务;归属母公司股东的权益/带息债务
归属母公司股东的权益／带息债务;
年化波动率(最近60个月);
机构预测主营业务收入;
归属于母公司所有者权益;母公司所有者的净利润
归属于母公司所有者权益;所有者权益合计
归属于母公司所有者权益;
投资净收益;
定期报告预计披露日期;预披露日期
定期报告预计披露日期;
银行持股数量;
单季度.处置子公司及其他营业单位收到的现金净额;单季度处置子公司及其他营业单位收到的现金净额
单季度.处置子公司及其他营业单位收到的现金净额;
