query,checkRet,score,index,syntacticIds,semanticIds,newRet,newScore,newIndex,newSyntacticIds,newSemanticIds,error,remark,
聚光科技流通a股占总股本比例,股票简称是聚光科技_&_流通a股占总股本比例,80,流通a股占总股本比例,STR_INSTANCE_&_FREE_VAR,STR_INSTANCE_&_FREE_VAR,聚光科技_&_流通a股占总股本比例,100,股票简称{}_&_流通a股占总股本比例{},STR_INSTANCE_&_FREE_VAR,STR_INSTANCE_&_FREE_VAR,指标发生变化,当前指标为：股票简称{}_&_流通a股占总股本比例{}
macd7日内底背离,7日内的macd底背离,83,macd,24,21,7日内的macd底背离,100,macd{交易日期:7日内},24,21,指标发生变化,当前指标为：macd{交易日期:7日内}
macd在7日内底背离,7日内的macd底背离,83,macd,24,21,7日内的macd底背离,80,macd{交易日期:7日内},24,21,指标发生变化,当前指标为：macd{交易日期:7日内}
股价底部横盘,行情收盘价低位_&_横盘,80,行情收盘价_&_横盘,222_&_FREE_VAR,115_&_FREE_VAR,收盘价低位_&_横盘,100,收盘价{}_&_横盘{},222_&_FREE_VAR,115_&_FREE_VAR,指标发生变化,当前指标为：收盘价{}_&_横盘{}
小盘股 BBI买入,小盘股_&_bbi买入信号,80,小盘股_&_bbi,FREE_VAR_&_102,FREE_VAR_&_84,总股本<1亿股_&_bbi买入信号,100,总股本_&_bbi{},1188_&_102,8_&_84,语义不同,当前语义号为：8_&_84;句式号为：1188_&_102
智飞生物总股本,股票简称是智飞生物_&_总股本,80,总股本,STR_INSTANCE_&_FREE_VAR,STR_INSTANCE_&_FREE_VAR,智飞生物_&_总股本,100,股票简称{}_&_总股本{},STR_INSTANCE_&_FREE_VAR,STR_INSTANCE_&_FREE_VAR,指标发生变化,当前指标为：股票简称{}_&_总股本{}
多头排列10元以下,多头排列_&_最新价<10元,80,最新价,203_&_181,919_&_8,多头排列_&_最新价<10元,100,最新价{},203_&_181,919_&_8,指标发生变化,当前指标为：最新价{}
天顺风能总股本,股票简称是天顺风能_&_总股本,80,总股本,STR_INSTANCE_&_FREE_VAR,STR_INSTANCE_&_FREE_VAR,天顺风能_&_总股本,100,股票简称{}_&_总股本{},STR_INSTANCE_&_FREE_VAR,STR_INSTANCE_&_FREE_VAR,指标发生变化,当前指标为：股票简称{}_&_总股本{}
水稻大米,主营产品名称是水稻_&_主营产品名称是大米,80,null,STR_INSTANCE_&_STR_INSTANCE,STR_INSTANCE_&_STR_INSTANCE,水稻大米,100,经营范围{},STR_INSTANCE,STR_INSTANCE,语义不同,当前语义号为：STR_INSTANCE;句式号为：STR_INSTANCE
成交量缩量，macd买入,成交量缩小_&_macd买入信号,80,成交量_&_macd,817_&_102,1370_&_84,缩量_&_macd买入信号,100,缩量{}_&_macd{},FREE_VAR_&_102,FREE_VAR_&_84,语义不同,当前语义号为：FREE_VAR_&_84;句式号为：FREE_VAR_&_102
7月20日至7月28日金针探底,7月20日至7月28日的金针探底,86,金针探底,FREE_VAR,FREE_VAR,7月20日至7月28日的金针探底,100,金针探底{交易日期:7月20日至7月28日},FREE_VAR,FREE_VAR,指标发生变化,当前指标为：金针探底{交易日期:7月20日至7月28日}
流通盘《5亿,流通a股<500000000,80,流通a股,245,8,流通a股<500000000,100,流通a股{},245,8,指标发生变化,当前指标为：流通a股{}
小盘股今日下跌,今日的小盘股下跌>0,90,小盘股,818,1063,总股本<1亿股_&_今日的涨跌幅<0%,100,总股本_&_涨跌幅{交易日期:今日},1188_&_491,8_&_1037,语义不同,当前语义号为：8_&_1037;句式号为：1188_&_491
换手率》20%,最新换手率>20%,80,最新换手率,248,161,最新换手率>20%,100,最新换手率{},248,161,指标发生变化,当前指标为：最新换手率{}
中盘股今日下跌,今日的中盘股下跌>0,90,中盘股,818,1063,今日的中盘股下跌>0,100,中盘股{报告期:今日},818,1063,指标发生变化,当前指标为：中盘股{报告期:今日}
2013年2季报预告净利润变动>=50%,2013年2季报的预告净利润变动幅度(%)>=50%,90,预告净利润变动幅度(%),249,162,2013年2季报的预告净利润变动幅度(%)>=50%,100,预告净利润变动幅度(%){报告期:2013年2季报},249,162,指标发生变化,当前指标为：预告净利润变动幅度(%){报告期:2013年2季报}
股价低于5元，市盈率10倍以下,最新价<5元_&_市盈率(pe)<10倍,80,最新价_&_市盈率(pe),245_&_786,8_&_13,收盘价<5元_&_市盈率(pe)<10倍,100,收盘价{}_&_市盈率(pe){},245_&_786,8_&_13,指标发生变化,当前指标为：收盘价{}_&_市盈率(pe){}
